review_group,random_crop_id,image_path,label_path,gpt_overlay_path,gpt_has_cloud,gpt_box_count,gpt_max_confidence,gpt_visual_types,human_quick_label,human_notes,sheet_id,sheet_title,page_number
gpt_positive,Revision_1_-_Drawing_Changes_6cbee960_p0018_random_0188,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0018_random_0188.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0018_random_0188.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0018_random_0188.jpg,True,0,0,,,,A5109G,"2' - 0""",19
gpt_positive,Revision_1_-_Drawing_Changes_6cbee960_p0027_random_0110,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0027_random_0110.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0027_random_0110.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0027_random_0110.jpg,True,1,0.94,partial,,,AE612,DOOR AND WINDOW DETAILS,28
gpt_positive,Revision_1_-_Drawing_Changes_6cbee960_p0037_random_0122,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0037_random_0122.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0037_random_0122.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0037_random_0122.jpg,True,1,0.95,bold,,,PL404,ENLARGED PLANS - PLUMBING,38
gpt_positive,Revision_Set_7_37f6066a_p0003_random_0115,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0003_random_0115.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0003_random_0115.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0003_random_0115.jpg,True,1,0.95,partial,,,C10,"PLATE 5/16""X4""X0'-6""",4
negative_spotcheck,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0006,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0006.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0006.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0006.jpg,False,0,0,,,,S160,"AEMS, PLLC",4
negative_spotcheck,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0102,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0102.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0102.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0102.jpg,False,0,0,,,,S160,"AEMS, PLLC",4
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0032_random_0089,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0032_random_0089.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0032_random_0089.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0032_random_0089.jpg,False,0,0,,,,S773D,Set: 18.0,33
negative_spotcheck,Revision_Set_7_37f6066a_p0002_random_0121,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0002_random_0121.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0002_random_0121.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0002_random_0121.jpg,False,0,0,,,,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3
negative_spotcheck,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0096,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0096.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0096.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0096.jpg,False,0,0,,,,C10,"PLATE 5/16""X4""X0'-6""",3
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0094_random_0011,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0094_random_0011.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0094_random_0011.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0094_random_0011.jpg,False,0,0,,,,,,95
negative_spotcheck,Revision_Set_7_37f6066a_p0003_random_0031,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0003_random_0031.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0003_random_0031.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0003_random_0031.jpg,False,0,0,,,,C10,"PLATE 5/16""X4""X0'-6""",4
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0039_random_0176,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0039_random_0176.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0039_random_0176.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0039_random_0176.jpg,False,0,0,,,,P-418,CS-1,40
negative_spotcheck,Revision_Set_7_37f6066a_p0000_random_0175,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0000_random_0175.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0000_random_0175.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0000_random_0175.jpg,False,0,0,,,,S130,"a. Add Details 7, 8 and 9 for wood decking, joist and post repair due to water damage.",1
negative_spotcheck,Revision_Set_7_37f6066a_p0003_random_0085,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0003_random_0085.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0003_random_0085.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0003_random_0085.jpg,False,0,0,,,,C10,"PLATE 5/16""X4""X0'-6""",4
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0019_random_0140,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0019_random_0140.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0019_random_0140.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0019_random_0140.jpg,False,0,0,,,,AE125,ENLARGED FLOOR PLANS,20
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0154_random_0149,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0154_random_0149.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0154_random_0149.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0154_random_0149.jpg,False,0,0,,,,,,155
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0011_random_0146,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0011_random_0146.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0011_random_0146.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0011_random_0146.jpg,False,0,0,,,,AE401,TYP,12
negative_spotcheck,Revision_Set_7_37f6066a_p0003_random_0199,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0003_random_0199.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0003_random_0199.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0003_random_0199.jpg,False,0,0,,,,C10,"PLATE 5/16""X4""X0'-6""",4
negative_spotcheck,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0042,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0042.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0042.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0042.jpg,False,0,0,,,,S140,PHOTO A-9,8
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0132_random_0185,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0132_random_0185.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0132_random_0185.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0132_random_0185.jpg,False,0,0,,,,,,133
negative_spotcheck,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0015,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0015.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0015.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0015.jpg,False,0,0,,,,PL306,5TH FLOOR - MED GAS,3
negative_spotcheck,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0069,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0069.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0069.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0069.jpg,False,0,0,,,,PL307,ATTIC - MED GAS,4
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0025_random_0008,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0025_random_0008.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0025_random_0008.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0025_random_0008.jpg,False,0,0,,,,AE514,ALUMINUM WINDOW,26
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0034_random_0200,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0034_random_0200.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0034_random_0200.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0034_random_0200.jpg,False,0,0,,,,P-418,"EXISTING 4"" SS DN",35
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0035,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0035.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0035.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0035.jpg,False,0,0,,,,P-420,FD-C,178
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0068,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0068.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0068.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0068.jpg,False,0,0,,,,AE211,SIM,10
negative_spotcheck,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0051,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0051.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0051.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0051.jpg,False,0,0,,,,PL507,OVERALL MED GAS RISER,5
negative_spotcheck,Revision_1_-_Drawing_Changes_6cbee960_p0017_random_0170,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_1_-_Drawing_Changes_6cbee960_p0017_random_0170.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_1_-_Drawing_Changes_6cbee960_p0017_random_0170.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0017_random_0170.jpg,False,0,0,,,,A5109D,7.1,18
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0121_random_0065,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0121_random_0065.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0121_random_0065.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0121_random_0065.jpg,False,0,0,,,,,b. Each schedule shall be composed of a minimum of two dates with,122
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0143_random_0059,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0143_random_0059.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0143_random_0059.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0143_random_0059.jpg,False,0,0,,,,,,144
negative_spotcheck,260313_-_VA_Biloxi_Rev_3_ff19da68_p0040_random_0125,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0040_random_0125.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0040_random_0125.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0040_random_0125.jpg,False,0,0,,,,C-913,2 Track System,41
negative_spotcheck,Revision_Set_7_37f6066a_p0000_random_0019,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0000_random_0019.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0000_random_0019.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0000_random_0019.jpg,False,0,0,,,,S130,"a. Add Details 7, 8 and 9 for wood decking, joist and post repair due to water damage.",1
negative_spotcheck,Revision_Set_7_37f6066a_p0003_random_0169,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\Revision_Set_7_37f6066a_p0003_random_0169.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\Revision_Set_7_37f6066a_p0003_random_0169.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\Revision_Set_7_37f6066a_p0003_random_0169.jpg,False,0,0,,,,C10,"PLATE 5/16""X4""X0'-6""",4
