inspection_item_id,row_number,candidate_id,source_page_key,postprocessing_action,crop_status,gpt_status,gpt_decision,gpt_confidence,gpt_tags,recommended_next_step,gpt_notes
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_whole_001,20,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_whole_001,260309_-_Drawing_Rev2-_Steel_Grab_Bars:p0005,carried_through_not_flagged_by_diagnostic,source_crop_preserved,not_actionable,reject_no_visible_cloud,0.780,no_visible_revision_cloud | dense_architectural_plan_linework | revision_triangle_present_but_not_cloud | likely_false_positive_from_door_swings_or_room_linework,exclude_from_crop_consumption,"GPT-5.5 crop precheck, confidence 0.78: The red bbox covers a busy architectural plan area with room labels, walls, door swings, and a revision triangle, but I do not see a clear scalloped revision-cloud boundary in or near the box. Per policy, the revision triangle and dense linework alone are insufficient evidence of a cloud."
260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_whole_001,21,260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_whole_001,260313_-_VA_Biloxi_Rev_3:p0172,carried_through_not_flagged_by_diagnostic,source_crop_preserved,gpt_prefilled,accept_crop,0.940,visible_revision_cloud | single_connected_cloud | bbox_covers_cloud | sufficient_context | plumbing_plan,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.94: A clearly visible, single connected revision cloud is contained within the red bbox, with adequate surrounding plan context. The bbox does not appear to clip the cloud or overmerge separate cloud groups."
260313_-_VA_Biloxi_Rev_3_ff19da68_p0173_whole_001,22,260313_-_VA_Biloxi_Rev_3_ff19da68_p0173_whole_001,260313_-_VA_Biloxi_Rev_3:p0173,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.920,visible_revision_cloud | single_cloud | reasonably_complete | sufficient_context | bbox_aligned,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.92: A single connected revision cloud is clearly visible within the red bbox. The bbox covers the cloud with only tight margins at the lower/right edges but does not appear to clip it, and surrounding drawing context is sufficient."
Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_whole_001,23,Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_whole_001,Drawing_Rev2-_Steel_Grab_Bars_AE107:p0000,carried_through_not_flagged_by_diagnostic,source_crop_preserved,needs_followup,needs_human_review,0.580,possible_revision_cloud_visible | large_bbox | ambiguous_cloud_boundary | dense_plan_linework,human_review_before_use,"GPT-5.5 crop precheck, confidence 0.58: There appears to be a possible scalloped revision-cloud boundary around the central patient bathroom area, but the red bbox is broad and includes dense architectural linework plus portions of adjacent rooms/bathrooms. It is not fully clear whether this is one complete clouded area or a partial/over-broad capture, so human review is recommended before use."
Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_whole_001,24,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_whole_001,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1:p0000,carried_through_not_flagged_by_diagnostic,source_crop_preserved,needs_followup,needs_human_review,0.550,ambiguous_visual_evidence | dense_floor_plan_linework | possible_revision_cloud | bbox_tight_to_possible_outline,human_review_before_use,"GPT-5.5 crop precheck, confidence 0.55: The red bbox covers a large, dense plan area with some heavy rounded/curvilinear linework near the bbox edges that may be a revision cloud, but a complete scalloped cloud outline is not clearly distinguishable from walls/plan graphics. The candidate is likely not blank or corrupted, but visual confirmation is borderline."
Revision_1_-_Drawing_Changes_6cbee960_p0001_whole_001,25,Revision_1_-_Drawing_Changes_6cbee960_p0001_whole_001,Revision__1_-_Drawing_Changes:p0001,carried_through_not_flagged_by_diagnostic,source_crop_preserved,gpt_prefilled,accept_crop,0.880,visible_revision_cloud | single_cloud | bbox_aligned | sufficient_context | floor_plan,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.88: A single visible revision cloud is reasonably complete within the red bbox, with surrounding corridor/room context. The bbox appears aligned and not an obvious overmerge."
Revision_1_-_Drawing_Changes_6cbee960_p0001_whole_002,26,Revision_1_-_Drawing_Changes_6cbee960_p0001_whole_002,Revision__1_-_Drawing_Changes:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.880,visible_revision_cloud | single_cloud | bbox_aligned | adequate_context | revision_triangle_present,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.88: The red bbox contains one reasonably complete visible revision cloud spanning the area near IMD Supply/Toilet Room/Panoramic X-Ray, with adequate surrounding plan context. The bbox appears aligned and does not obviously overmerge multiple separate clouds."
Revision_1_-_Drawing_Changes_6cbee960_p0002_whole_001,27,Revision_1_-_Drawing_Changes_6cbee960_p0002_whole_001,Revision__1_-_Drawing_Changes:p0002,carried_through_not_flagged_by_diagnostic,source_crop_preserved,gpt_prefilled,accept_crop,0.980,visible_revision_cloud | single_cloud | complete_cloud_inside_bbox | adequate_context | room_plan_context,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.98: One clearly visible, reasonably complete revision cloud surrounds the medical gas room and is contained within the red bbox with sufficient surrounding drawing context. No evidence of multiple separate clouds or bad alignment."
Revision_Set_7_37f6066a_p0002_whole_001,28,Revision_Set_7_37f6066a_p0002_whole_001,Revision_Set__7:p0002,corrected_bbox_update,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.960,visible_revision_cloud | single_cloud | bbox_aligned | sufficient_context | text_note_cloud,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.96: One complete, clearly visible horizontal revision cloud surrounds note 8 and is well contained within the red bbox. The crop includes enough surrounding context and does not appear to merge multiple separate clouds."
Revision_Set_7_37f6066a_p0002_whole_002,29,Revision_Set_7_37f6066a_p0002_whole_002,Revision_Set__7:p0002,carried_through_not_flagged_by_diagnostic,source_crop_preserved,not_actionable,reject_no_visible_cloud,0.950,no_revision_cloud_visible | north_arrow_symbol | false_positive_symbol | red_bbox_on_non_cloud_linework,exclude_from_crop_consumption,"GPT-5.5 crop precheck, confidence 0.95: The red bbox encloses a circular north arrow/plan symbol with straight crosshair/arrow linework. There is no visible scalloped revision cloud in or near the bbox."
Revision_Set_7_37f6066a_p0003_whole_001,30,Revision_Set_7_37f6066a_p0003_whole_001,Revision_Set__7:p0003,unchanged,source_crop_preserved,gpt_prefilled,accept_crop,0.940,visible_revision_cloud | single_cloud | complete_cloud_inside_bbox | adequate_context | large_detail_cloud,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.94: The red bbox contains one reasonably complete visible revision-clouded detail area with surrounding context. Nearby partial clouds outside the bbox/crop do not appear merged into the candidate."
postproc_merge_component_002,31,postproc_merge_component_002,Revision_Set__7:p0003,merge_component_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.950,single_visible_revision_cloud | bbox_aligned | complete_cloud_visible | sufficient_context,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.95: One large, clearly visible revision-clouded detail is contained within the red bbox with adequate surrounding context. A separate partial cloud is visible above the bbox but is not merged into the candidate box."
postproc_merge_component_003,32,postproc_merge_component_003,Revision_Set__7:p0003,merge_component_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.960,visible_revision_cloud | single_cloud | complete_cloud | adequate_context | large_detail_callout,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.96: The red bbox contains one clearly visible, reasonably complete revision-clouded area around the roof wood plank repair detail, with sufficient surrounding context. Other clouds are visible outside the bbox but are separate and not included in the candidate box."
