random_crop_id,image_path,sheet_id,sheet_title,page_number,ink_ratio,human_quick_label,human_notes
Revision_Set_7_37f6066a_p0002_random_0022,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0022.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.045222,,
Revision_1_-_Drawing_Changes_6cbee960_p0019_random_0023,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0019_random_0023.png,AE125,ENLARGED FLOOR PLANS,20,0.030512,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.png,P-418,FD-C,22,0.145466,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0025,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0025.png,S140,PHOTO A-9,8,0.571531,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0187_random_0026,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0187_random_0026.png,MH301,LOCKABLE COVER,188,0.009883,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0027,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0027.png,PL306,5TH FLOOR - MED GAS,3,0.116067,,
Revision_Set_7_37f6066a_p0003_random_0028,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0028.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.044677,,
Revision_1_-_Drawing_Changes_6cbee960_p0046_random_0029,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0046_random_0029.png,MH302,"3/4"" HWS",47,0.034629,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0018_random_0030,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0018_random_0030.png,A5075,"RECEPTACLE, DUPLEX",19,0.067788,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0031,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0031.png,S140,PHOTO A-9,8,0.999949,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0175_random_0032,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0175_random_0032.png,P-418,"EXISTING 4"" SS DN",176,0.149137,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0033,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0033.png,PL307,ATTIC - MED GAS,4,0.057423,,
Revision_Set_7_37f6066a_p0003_random_0034,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0034.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.056619,,
Revision_1_-_Drawing_Changes_6cbee960_p0033_random_0035,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0033_random_0035.png,P-418,FD-C,34,0.193203,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0018_random_0036,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0018_random_0036.png,A5075,"RECEPTACLE, DUPLEX",19,0.067665,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0037,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0037.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.025161,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0179_random_0038,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0179_random_0038.png,P-418,CS-1,180,0.201252,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0039,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0039.png,PL305,4TH FLOOR - MED GAS,2,0.105078,,
Revision_Set_7_37f6066a_p0002_random_0040,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0040.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.019254,,
Revision_1_-_Drawing_Changes_6cbee960_p0026_random_0041,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0026_random_0041.png,AE611,"9'-0""",27,0.025739,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0008_random_0042,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0008_random_0042.png,AE301,7.4,9,0.125966,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0043,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0007_random_0043.png,S140,PHOTO A-9,8,0.862218,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0044,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0044.png,P-420,FD-C,178,0.05051,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0045,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0045.png,PL307,ATTIC - MED GAS,4,0.028392,,
Revision_Set_7_37f6066a_p0002_random_0046,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0046.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.238561,,
Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0047,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0047.png,AE110,6B103,16,0.005753,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0006_random_0048,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0006_random_0048.png,AE401,SIM,7,0.055492,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0049,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0049.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.032626,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0050,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0050.png,P-420,FD-C,178,0.151013,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0051,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0051.png,PL305,4TH FLOOR - MED GAS,2,0.010159,,
Revision_Set_7_37f6066a_p0002_random_0052,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0052.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.011206,,
Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0053,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0053.png,AE110,6B103,16,0.110975,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0015_random_0054,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0015_random_0054.png,A5109D,7.1,16,0.039535,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0055,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0055.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.019864,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_random_0056,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_random_0056.png,P-418,"4"" SS",177,0.079727,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0057,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0057.png,PL507,OVERALL MED GAS RISER,5,0.010453,,
Revision_Set_7_37f6066a_p0003_random_0058,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0058.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.036105,,
Revision_1_-_Drawing_Changes_6cbee960_p0022_random_0059,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0022_random_0059.png,AE402,PLAN DETAILS,23,0.088896,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0060,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0060.png,GI104,5TH FLOOR CODE ANALYSIS,5,0.039377,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0061,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0061.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.164526,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0062,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0177_random_0062.png,P-420,FD-C,178,0.025915,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0063,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0063.png,PL507,OVERALL MED GAS RISER,5,0.091667,,
Revision_Set_7_37f6066a_p0002_random_0064,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0064.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.0573,,
Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0065,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0065.png,GI104,5TH FLOOR CODE ANALYSIS,2,0.125479,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0012_random_0066,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0012_random_0066.png,AE403,SHIPPING/,13,0.080714,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0067,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0067.png,S142,Project Number,6,0.468371,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0197_random_0068,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0197_random_0068.png,E001,SYMBOLS  LIST.,198,0.102273,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0069,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0069.png,PL306,5TH FLOOR - MED GAS,3,0.136862,,
Revision_Set_7_37f6066a_p0002_random_0070,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0070.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.291889,,
Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0071,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0071.png,AE600,"3' - 0""",13,0.096201,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0072,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0072.png,P-418,FD-C,22,0.070485,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0073,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0073.png,S142,Project Number,6,0.578249,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0175_random_0074,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0175_random_0074.png,P-418,"EXISTING 4"" SS DN",176,0.085975,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0075,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0075.png,PL305,4TH FLOOR - MED GAS,2,0.082163,,
Revision_Set_7_37f6066a_p0003_random_0076,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0076.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.024117,,
Revision_1_-_Drawing_Changes_6cbee960_p0046_random_0077,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0046_random_0077.png,MH302,"3/4"" HWS",47,0.019163,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0028_random_0078,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0028_random_0078.png,P-418,WCO,29,0.021542,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0079,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0079.png,C10,"PLATE 5/16""X4""X0'-6""",3,0.010793,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0080,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0080.png,P-418,"1/2"" CW,",173,0.094419,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0081,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0081.png,PL305,4TH FLOOR - MED GAS,2,0.185129,,
Revision_Set_7_37f6066a_p0003_random_0082,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0082.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.089877,,
Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0083,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0083.png,AE211,CENTRAL,9,0.0026,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0020_random_0084,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0020_random_0084.png,P-418,"1/2"" CW,",21,0.02897,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0085,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0085.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.018091,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0178_random_0086,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0178_random_0086.png,P-418,FD-C,179,0.043727,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0087,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0087.png,PL305,4TH FLOOR - MED GAS,2,0.040014,,
Revision_Set_7_37f6066a_p0002_random_0088,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0088.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.101305,,
Revision_1_-_Drawing_Changes_6cbee960_p0026_random_0089,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0026_random_0089.png,AE611,"9'-0""",27,0.022115,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0008_random_0090,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0008_random_0090.png,AE301,7.4,9,0.121353,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0091,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0091.png,C10,"PLATE 5/16""X4""X0'-6""",3,0.003794,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0194_random_0092,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0194_random_0092.png,EP103,"72""",195,0.074071,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0093,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0093.png,PL507,OVERALL MED GAS RISER,5,0.135615,,
Revision_Set_7_37f6066a_p0003_random_0094,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0094.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.020319,,
